,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,perturbation_label
0,-1.1225461,-0.5853669,1.5335274,-1.4207683,-0.044677343,-0.42607477,1.3209909,-0.9565834,-1.5824022,-0.358371,-0.5105211,0.9247433,1.3177288,-0.44164088,-1.2823204,-2.3628826,0.5272885,1.1416489,-1.396829,-0.5585911,obs
1,-1.1483268,-1.1791824,1.166975,0.11083797,0.8276925,0.116735026,1.1898054,-0.2404152,-1.0352778,-0.46452463,-0.7768765,-0.5813435,0.6354699,-0.8922394,-0.56055105,1.1014539,-1.6443763,1.3152763,-0.9565077,1.9599013,obs
2,-0.27170032,0.6177505,1.6092403,-0.9354226,-0.050252657,-0.6006615,0.78644454,-1.460685,-0.19860676,-1.6042424,0.16790429,-0.73925424,1.5552585,1.4087479,-0.016016955,0.13863857,0.30228123,0.36329696,-1.4430462,-0.18842255,obs
3,-0.4498874,1.7142302,0.48474243,-0.36511794,0.056506403,-1.284053,0.91556233,-1.4857694,-0.44336587,1.1560798,-0.30122373,0.03188339,0.4478442,1.5167565,-0.9111535,-0.46268925,1.9361514,0.61501575,-0.49990353,-2.117052,obs
4,0.79692394,-0.0366172,-1.6285963,1.13668,0.7652333,0.93401676,-1.3629526,0.9794338,1.1999605,2.1810138,0.12743409,-0.9577209,-1.1767582,-0.6550543,2.2401555,-0.9035158,0.62850875,-1.043336,1.2075746,-0.70665956,obs
5,0.64459395,-0.61516565,-0.3323881,0.024109581,0.24056056,-0.14707597,-1.3213274,1.2256858,0.95413154,-0.17488062,1.1255733,-0.35274628,-0.07828075,-0.58458334,-0.23636895,0.34333804,-2.0574229,-0.9696212,0.19638847,1.9409127,obs
6,-0.3353092,0.93075633,0.123853475,0.3529931,-0.115042455,-2.2271962,0.82627577,-1.5619878,-0.57858795,0.38399214,-1.1196333,-0.44732735,-0.010657364,1.3367666,-0.23283528,0.5289644,0.51564014,0.3830727,-0.05383649,-0.5521257,obs
7,-2.0843272,-0.26608914,0.9042736,-0.5281973,-0.9018253,-0.5163192,1.5739378,-0.62075984,-1.2120266,0.10286,-0.6922927,1.0335355,0.03424234,-0.13314943,0.5566515,-1.5063607,-2.6960742,1.7592686,0.5444741,1.9362752,obs
8,0.28517345,0.6574141,1.3773044,-1.2208844,0.8702405,-0.699748,-0.29963723,-1.1140499,0.318447,-1.5936227,0.8119989,-0.46648973,1.3496609,1.3403053,-1.0299375,0.49182242,-1.9964745,-0.45624346,-1.6956762,1.733685,obs
9,-1.2562056,0.10716173,0.52432936,-1.2929989,-1.179953,-0.5932514,1.418783,-0.95209897,-1.4195728,1.3863279,-0.1874948,1.6422421,0.6988715,0.770826,0.21627821,0.16920878,0.3978408,1.3848026,-0.20998552,-0.3269655,obs
10,0.31210878,-0.8000451,0.6862038,0.34206635,1.286602,1.0323589,-1.0776244,0.939947,0.9833132,1.2883472,0.95915514,0.123486936,0.040633027,-1.4519445,-0.06979601,0.65770143,-0.5792683,-0.4203578,-0.42757857,0.55277747,obs
11,0.2714269,-0.07053332,-0.36068806,-1.0560454,-0.047775093,-0.8109081,-0.51945275,-0.18128507,0.64305127,-0.53015745,0.6683402,0.038825978,0.27831393,0.76621455,0.11102127,-1.4446309,-1.0380003,-0.45125133,0.22881916,1.3466356,obs
12,0.0883869,-1.5596464,0.60352284,0.0760463,1.6739327,-0.68945163,-0.7115701,-0.35630777,-0.059409082,-0.385652,-0.19359541,-0.58902735,0.586922,-0.55108577,0.5308811,1.5488831,0.5071068,-0.17615755,-0.6056915,-0.69030935,obs
13,1.1750219,-0.3651522,-0.55831325,0.20174289,1.791813,1.7536501,-1.3492693,1.0235881,1.7047741,0.2715581,1.9626877,-0.43861398,-0.44893596,-1.5795563,0.497892,-0.5787955,-1.3147671,-1.4238243,0.026525268,1.6308215,obs
14,1.0575131,-1.7010566,0.09007363,-0.3499088,-0.4419615,-0.5771198,-1.0642413,1.6332173,1.1622599,1.4356741,1.2031546,0.22216824,0.08492505,-0.6391766,-0.056349836,-0.46227255,-0.86540043,-1.2052637,-0.33900973,1.1471784,obs
15,-0.26849145,1.1581889,0.16384766,-0.6701791,-1.0429637,1.3391523,0.71681005,0.14371178,-0.42975855,-0.3267699,-0.041368823,-0.9807292,-1.015364,0.022148082,0.26073465,-0.756027,0.8681051,0.29654247,-0.34379122,-0.9143347,obs
16,-1.3430331,0.72112083,0.29847464,-1.4809031,0.7809321,0.45954004,1.0685152,-1.6640435,-1.5602835,0.8382412,0.1767123,0.33289877,0.09060837,0.5518342,0.68017524,0.44654676,-1.3418604,1.467681,-0.03013223,1.1941766,obs
17,-1.6767349,0.94835216,0.14965901,0.31154287,0.8290112,1.2165376,1.1937318,-1.4272236,-1.5133252,-0.42826232,-1.9934732,0.56635606,0.39117953,0.2995505,0.26799786,0.8761462,1.8544698,1.5560545,0.38960323,-1.8746572,obs
18,0.52273214,0.51507235,1.1028557,-0.16875933,1.3382115,1.9655929,-1.0904233,0.4229068,0.6048331,-0.4046066,1.2499039,-0.53299457,0.76023346,-0.8124903,-1.6344161,-0.8357797,-0.49083012,-0.77884287,-1.313732,0.52806145,obs
19,0.7432618,-0.6390604,-0.1952882,-0.33203173,-0.28365695,-0.27070683,-1.1739899,1.3713746,1.0300051,0.97215724,0.97907656,2.2572155,-0.07766786,-0.3879383,-0.8545847,0.28232956,-0.80520666,-1.0167066,0.45894206,1.0496119,obs
20,0.5540232,-0.42705464,-1.2091502,-0.5525044,0.5865794,0.12122915,-1.246993,0.952451,0.6598275,-1.1179883,0.8662175,0.9261932,-1.1297752,-0.746694,1.1472635,-0.061793063,-0.18630114,-0.7245426,0.35787868,0.27235627,obs
21,-1.5398272,-0.30433396,0.19643863,0.054911286,-1.1310836,0.29504883,1.5181868,-0.11956895,-1.6025424,-1.156211,-1.768934,-0.64832145,0.35589212,-1.0553584,1.1392329,-0.9291653,-1.8127093,1.5396408,0.5287455,1.5281907,obs
22,-0.35994968,-1.0004811,-0.619892,-0.7770368,-1.3339314,-1.2946001,0.85171634,0.08453347,-0.671412,0.5497319,-0.39218587,-1.8924284,-1.130429,0.028029792,1.2635949,0.21519376,0.64468634,0.4319322,0.7149666,-0.23924789,obs
23,1.7732049,-0.82087874,-0.8565042,0.27121392,-1.5186634,-0.41496205,-0.98579234,1.4393203,1.3986871,-0.6741903,1.6963412,1.4386101,-0.34403324,-0.3270289,-0.95951986,-0.5088145,-0.6804155,-1.6583201,0.6496413,0.79987377,obs
24,0.70115125,-0.30145574,-1.5070885,-1.1463357,-0.1615169,-0.13189816,-1.0761986,1.2297703,0.7353093,0.1774991,0.80445755,0.30080986,-2.0323024,-0.36433843,0.92284656,1.0095457,-1.297843,-0.8694805,1.1786301,1.4189259,obs
25,-0.59727633,-0.29141492,0.844923,0.5197384,-1.7690225,-1.2051678,1.0256108,-0.09306651,-0.8766892,0.6627379,-1.083009,0.9076389,0.8912557,0.23890314,-0.33225468,-0.28250745,0.84847397,0.8347889,-0.76731324,-0.8329915,obs
